DESCRIÇÃO	PARCELA	DATA	VALOR
ROMETAL - NF 160349	1/3	18/09/2025	 R$ 6.279,72 
ROMETAL - NF 251614	1/3	18/09/2025	 R$ 2.848,22 
UNA - NF 184351	2/3	18/09/2025	 R$ 2.900,65 
BARZEL - NF 375509	1/3	19/09/2025	 R$ 719,81 
EMPRÉSTIMO ITAÚ	22/42	19/09/2025	 R$ 41.345,46 
FLORA - NF 131545	2/3	19/09/2025	 R$ 37.085,94 
IBRAP - NF 664371	3/5	19/09/2025	 R$ 225,76 
FGTS	MENSAL	20/09/2025	 R$ 1.200,00 
FRETE - METALFIXE - NF 23848 - TRL	1/1	20/09/2025	 R$ 425,41 
INSS	MENSAL	20/09/2025	 R$ 7.000,00 
TEGUS - NF 26670	1/3	20/09/2025	 R$ 2.588,34 
FLORA - NF 133036	1/3	22/09/2025	 R$ 34.583,62 
ARTECOLA - NF 651630	2/3	23/09/2025	 R$ 1.498,72 
STAM - NF 392008	1/4	23/09/2025	 R$ 1.398,28 
ALTERDATA	MENSAL	26/09/2025	 R$ 870,31 
HELA - NF 117062	4/4	26/09/2025	 R$ 417,50 
METALNOX - NF 1819	2/3	27/09/2025	 R$ 2.965,70 
FLORA - NF 132003	2/3	28/09/2025	 R$ 39.822,23 
FLORA - NF 132005	2/3	28/09/2025	 R$ 466,73 
METALNOX -NF 1912	1/3	28/09/2025	 R$ 2.839,76 
BARZEL - NF 375509	2/3	29/09/2025	 R$ 622,66 
ARTECOLA - NF 651630	3/3	30/09/2025	 R$ 1.499,17 
CONTADOR	MENSAL	30/09/2025	 R$ 2.904,00 
FOLHA PAGAMENTO	MENSAL	30/09/2025	 R$ 9.000,00 
MASUTTI - NF 117654	2/3	30/09/2025	 R$ 1.821,98 
METALNOX - NF 68272	2/3	30/09/2025	 R$ 1.762,17 
PRO-LABORE ARIOSTO 09/2025	MENSAL	30/09/2025	 R$ 10.000,00 
PRO-LABORE RONALDO 09/2025	MENSAL	30/09/2025	 R$ 10.000,00 
TEGUS - NF 26670	2/3	30/09/2025	 R$ 2.588,34 
		
